[cortex] $ uv run --python 3.11 --with torch --with numpy python /Users/ajinkya/github-repos/thepursuits/cortex/lab/recipes/pretrain_nano.py --smoke --steps 60
device=cpu params=104,576 (non-embedding 100,672) loop=1 train_tokens=3,380 flops/token(train)=7.023e+05
STATUS {"phase": "train", "msg": "60 steps, batch 16 x 64 tokens, schedule cosine"}
METRIC {"step": 34, "loss": 2.380542516708374, "lr": 0.002262887174648388, "grad_norm": 0.6948383450508118, "tokens_per_s": 36029.4326680857, "tflops": 0.025304767622372635}
METRIC {"step": 35, "loss": 2.07828950881958, "lr": 0.002166622633692871, "grad_norm": 0.8860382437705994, "tokens_per_s": 30787.231311134346, "tflops": 0.021622980890136853}
METRIC {"step": 36, "loss": 2.257017135620117, "lr": 0.002067172942406179, "grad_norm": 1.5081007480621338, "tokens_per_s": 35689.59850648968, "tflops": 0.02506608985665394}
METRIC {"step": 37, "loss": 2.162921667098999, "lr": 0.0019651512412054723, "grad_norm": 0.7544198036193848, "tokens_per_s": 26631.412638876514, "tflops": 0.018704199827137974}
METRIC {"step": 38, "loss": 2.2131500244140625, "lr": 0.001861186527804312, "grad_norm": 1.0827583074569702, "tokens_per_s": 34584.76012439617, "tflops": 0.02429012208672791}
METRIC {"step": 39, "loss": 2.0540482997894287, "lr": 0.0017559197792325909, "grad_norm": 0.6836151480674744, "tokens_per_s": 28883.31030669374, "tflops": 0.020285788627562053}
METRIC {"step": 40, "loss": 2.220165252685547, "lr": 0.0016500000000000002, "grad_norm": 1.1278778314590454, "tokens_per_s": 31309.47922361496, "tflops": 0.021989774399996834}
METRIC {"step": 41, "loss": 2.2726354598999023, "lr": 0.0015440802207674098, "grad_norm": 0.881869912147522, "tokens_per_s": 30641.786527924174, "tflops": 0.02152082978287615}
METRIC {"step": 42, "loss": 2.105144739151001, "lr": 0.001438813472195688, "grad_norm": 0.9796816110610962, "tokens_per_s": 37854.772959101174, "tflops": 0.02658676982100328}
METRIC {"step": 43, "loss": 2.2343852519989014, "lr": 0.001334848758794528, "grad_norm": 0.7378100752830505, "tokens_per_s": 27873.584910996557, "tflops": 0.01957662213204968}
METRIC {"step": 44, "loss": 2.034377336502075, "lr": 0.0012328270575938213, "grad_norm": 0.9654064774513245, "tokens_per_s": 27192.698819674762, "tflops": 0.019098411318215096}
METRIC {"step": 45, "loss": 2.010260581970215, "lr": 0.0011333773663071288, "grad_norm": 1.1603213548660278, "tokens_per_s": 31172.11251108786, "tflops": 0.021893296812587403}
METRIC {"step": 46, "loss": 2.059779405593872, "lr": 0.001037112825351612, "grad_norm": 0.8364606499671936, "tokens_per_s": 36262.924327686604, "tflops": 0.0254687572206101}
METRIC {"step": 47, "loss": 2.037710428237915, "lr": 0.0009446269376334691, "grad_norm": 0.9520520567893982, "tokens_per_s": 26105.52235497249, "tflops": 0.018334848148701958}
METRIC {"step": 48, "loss": 1.8746540546417236, "lr": 0.0008564899094051616, "grad_norm": 1.755146861076355, "tokens_per_s": 7173.199988925613, "tflops": 0.005037996587422059}
METRIC {"step": 49, "loss": 2.226614475250244, "lr": 0.0007732451347542522, "grad_norm": 1.7728837728500366, "tokens_per_s": 5356.22514173101, "tflops": 0.003761869741142791, "val_loss": 1.6374891251325607}
METRIC {"step": 50, "loss": 1.9576363563537598, "lr": 0.0006954058453981609, "grad_norm": 0.8378686904907227, "tokens_per_s": 23681.68467237578, "tflops": 0.016632499686057716}
METRIC {"step": 51, "loss": 1.8608781099319458, "lr": 0.0006234519464399584, "grad_norm": 0.785619854927063, "tokens_per_s": 31254.649857344473, "tflops": 0.021951265762207888}
METRIC {"step": 52, "loss": 2.2089779376983643, "lr": 0.0005578270575938212, "grad_norm": 1.7229992151260376, "tokens_per_s": 30802.2812094482, "tflops": 0.021633550975519014}
METRIC {"step": 53, "loss": 1.9424779415130615, "lr": 0.0004989357781219756, "grad_norm": 1.3460296392440796, "tokens_per_s": 23661.939294127656, "tflops": 0.016618631796080443}
METRIC {"step": 54, "loss": 2.091365337371826, "lr": 0.0004471411923457035, "grad_norm": 1.1413508653640747, "tokens_per_s": 24696.990344185364, "tflops": 0.017345585410373773}
METRIC {"step": 55, "loss": 1.986209511756897, "lr": 0.0004027626311097629, "grad_norm": 0.6433524489402771, "tokens_per_s": 25983.940001105664, "tflops": 0.018249456484616546}
METRIC {"step": 56, "loss": 2.0803282260894775, "lr": 0.0003660737030015428, "grad_norm": 0.8504852056503296, "tokens_per_s": 29509.83814069575, "tflops": 0.02072582168038369}
METRIC {"step": 57, "loss": 2.081955671310425, "lr": 0.00033730060746313666, "grad_norm": 0.8022851943969727, "tokens_per_s": 32431.490855887885, "tflops": 0.022777803561760873}
METRIC {"step": 58, "loss": 1.9572768211364746, "lr": 0.0003166207401965642, "grad_norm": 0.6904594302177429, "tokens_per_s": 30302.357747342172, "tflops": 0.02128243673083731}
METRIC {"step": 59, "loss": 1.979453682899475, "lr": 0.00030416159946027727, "grad_norm": 0.6618383526802063, "tokens_per_s": 2007.752918264568, "tflops": 0.0014101171536022637, "val_loss": 1.5379390716552734}
STATUS {"phase": "done", "msg": "saved out/pretrain_nano/ckpt.pt"}
RESULT {"train_loss": 1.979453682899475, "val_loss": 1.5379390716552734, "params": 104576, "flops_per_token": 702336, "loop": 1, "steps": 60, "checkpoint": "out/pretrain_nano/ckpt.pt"}
